event_type,level,trigger,description,file,line,recommendation,comment,status
ConversationEvents.ASYNC_THRESHOLD_DETECTED,INFO,src/muxi/formation/overlord/overlord.py:7946,Post-approval async decision: {'async' if should_async else 'sync'},src/muxi/formation/overlord/overlord.py,7946,OK - No issues identified,,
ConversationEvents.ASYNC_THRESHOLD_DETECTED,INFO,src/muxi/formation/overlord/overlord.py:8214,Webhook notification sent successfully with retries,src/muxi/formation/overlord/overlord.py,8214,OK - No issues identified,,
ConversationEvents.CLARIFICATION_COMPLETED,INFO,src/muxi/formation/overlord/overlord.py:9592,Agent clarification completed for {agent_name},src/muxi/formation/overlord/overlord.py,9592,OK - No issues identified,,
ConversationEvents.CLARIFICATION_FAILED,ERROR,src/muxi/formation/overlord/overlord.py:9372,Failed to handle agent clarification request: {str(e)},src/muxi/formation/overlord/overlord.py,9372,OK - No issues identified,,
ConversationEvents.CLARIFICATION_FAILED,ERROR,src/muxi/formation/overlord/overlord.py:9606,Failed to process agent clarification response: {str(e)},src/muxi/formation/overlord/overlord.py,9606,OK - No issues identified,,
ConversationEvents.CLARIFICATION_FAILED,ERROR,src/muxi/formation/overlord/overlord.py:9988,Failed to send additional clarification for request {request_id},src/muxi/formation/overlord/overlord.py,9988,OK - No issues identified,,
ConversationEvents.CLARIFICATION_FAILED,ERROR,src/muxi/formation/overlord/overlord.py:9998,Clarification failed for request {request_id},src/muxi/formation/overlord/overlord.py,9998,OK - No issues identified,,
ConversationEvents.CLARIFICATION_FAILED,ERROR,src/muxi/formation/overlord/overlord.py:10025,Exception during clarification processing for request {request_id},src/muxi/formation/overlord/overlord.py,10025,OK - No issues identified,,
ConversationEvents.CLARIFICATION_REQUEST_GENERATED,INFO,src/muxi/formation/overlord/overlord.py:9357,Agent {agent_name} requested clarification from user,src/muxi/formation/overlord/overlord.py,9357,OK - No issues identified,,
ConversationEvents.CLARIFICATION_REQUEST_SENT,INFO,src/muxi/formation/overlord/overlord.py:5508,"Checking for pending clarifications (workflow approval, credentials, etc.)",src/muxi/formation/overlord/overlord.py,5508,OK - No issues identified,,
ConversationEvents.CLARIFICATION_REQUEST_SENT,INFO,src/muxi/formation/overlord/overlord.py:5872,Processing workflow approval response,src/muxi/formation/overlord/overlord.py,5872,OK - No issues identified,,
ConversationEvents.CLARIFICATION_REQUEST_SENT,INFO,src/muxi/formation/overlord/overlord.py:5889,Looking up workflow {workflow_id} in pending approvals,src/muxi/formation/overlord/overlord.py,5889,OK - No issues identified,,
ConversationEvents.CLARIFICATION_REQUEST_SENT,INFO,src/muxi/formation/overlord/overlord.py:6444,Checking workflow analysis conditions,src/muxi/formation/overlord/overlord.py,6444,OK - No issues identified,,
ConversationEvents.CLARIFICATION_REQUEST_SENT,INFO,src/muxi/formation/overlord/overlord.py:7469,Workflow approval decision: {'REQUIRED' if needs_approval else 'NOT REQUIRED'},src/muxi/formation/overlord/overlord.py,7469,OK - No issues identified,,
ConversationEvents.CLARIFICATION_REQUEST_SENT,INFO,src/muxi/formation/overlord/overlord.py:9689,Requesting {service} credentials from user,src/muxi/formation/overlord/overlord.py,9689,OK - No issues identified,,
ConversationEvents.CLARIFICATION_REQUEST_SENT,INFO,src/muxi/formation/overlord/overlord.py:9981,Additional clarification question sent for request {request_id},src/muxi/formation/overlord/overlord.py,9981,OK - No issues identified,,
ConversationEvents.CLARIFICATION_REQUEST_SENT,WARNING,src/muxi/formation/overlord/overlord.py:6875,Agent selection triggered - check if this should have been handled as clarification,src/muxi/formation/overlord/overlord.py,6875,OK - No issues identified,,
ConversationEvents.CLARIFICATION_RESPONSE_RECEIVED,INFO,src/muxi/formation/overlord/overlord.py:5800,Processing {clarification_info.get('type')} clarification response,src/muxi/formation/overlord/overlord.py,5800,OK - No issues identified,,
ConversationEvents.CLARIFICATION_SKIPPED,INFO,src/muxi/formation/overlord/overlord.py:9644,Clarification disabled - cannot request missing credential,src/muxi/formation/overlord/overlord.py,9644,OK - No issues identified,,
ConversationEvents.CONTENT_EXTRACTION_COMPLETED,DEBUG,src/muxi/formation/artifacts/extractor.py:114,Successfully parsed JSON content from text field,src/muxi/formation/artifacts/extractor.py,114,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.CONTENT_EXTRACTION_COMPLETED,DEBUG,src/muxi/formation/artifacts/extractor.py:144,Successfully parsed JSON content from string,src/muxi/formation/artifacts/extractor.py,144,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.CONTENT_EXTRACTION_STARTED,DEBUG,src/muxi/formation/artifacts/extractor.py:88,Tool result type: {type(file_info)},src/muxi/formation/artifacts/extractor.py,88,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.CONTENT_PROCESSED,DEBUG,src/muxi/formation/agents/knowledge/handler.py:297,No embedding function provided for knowledge source,src/muxi/formation/agents/knowledge/handler.py,297,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.CONTENT_PROCESSED,ERROR,src/muxi/formation/agents/knowledge/handler.py:275,Unsupported knowledge source type,src/muxi/formation/agents/knowledge/handler.py,275,OK - No issues identified,,
ConversationEvents.CONTENT_PROCESSED,INFO,src/muxi/formation/agents/knowledge/handler.py:239,Starting knowledge source addition with hybrid architecture,src/muxi/formation/agents/knowledge/handler.py,239,OK - No issues identified,,
ConversationEvents.CONTENT_PROCESSED,INFO,src/muxi/formation/agents/knowledge/handler.py:461,Knowledge source addition completed with hybrid architecture,src/muxi/formation/agents/knowledge/handler.py,461,OK - No issues identified,,
ConversationEvents.CONTENT_PROCESSED,INFO,src/muxi/formation/artifacts/extractor.py:78,Found direct artifact: {artifact.filename},src/muxi/formation/artifacts/extractor.py,78,OK - No issues identified,,
ConversationEvents.CONTENT_PROCESSED,INFO,src/muxi/formation/artifacts/processor.py:278,Successfully created artifact: {artifact.filename},src/muxi/formation/artifacts/processor.py,278,OK - No issues identified,,
ConversationEvents.CONTENT_RETRIEVED,INFO,src/muxi/formation/agents/knowledge/handler.py:505,Starting knowledge search with performance optimization,src/muxi/formation/agents/knowledge/handler.py,505,OK - No issues identified,,
ConversationEvents.CONTENT_RETRIEVED,INFO,src/muxi/formation/agents/knowledge/handler.py:590,Knowledge semantic search completed,src/muxi/formation/agents/knowledge/handler.py,590,OK - No issues identified,,
ConversationEvents.CONTENT_RETRIEVED,INFO,src/muxi/formation/agents/knowledge/handler.py:1444,Unified knowledge and memory search completed,src/muxi/formation/agents/knowledge/handler.py,1444,OK - No issues identified,,
ConversationEvents.CONTENT_RETRIEVED,WARNING,src/muxi/formation/agents/knowledge/handler.py:523,No embedding function provided for knowledge search,src/muxi/formation/agents/knowledge/handler.py,523,OK - No issues identified,,
ConversationEvents.CRON_TIMEZONE_CONVERTED,INFO,src/muxi/services/scheduler/parser.py:1126,Cron expression timezone converted,src/muxi/services/scheduler/parser.py,1126,OK - No issues identified,,
ConversationEvents.DOCUMENT_PROCESSING_COMPLETED,DEBUG,src/muxi/services/llm/llm.py:933,NO DESCRIPTION,src/muxi/services/llm/llm.py,933,MISSING DESCRIPTION - Add meaningful description,,
ConversationEvents.DOCUMENT_PROCESSING_COMPLETED,DEBUG,src/muxi/utils/document.py:53,Document loading completed successfully,src/muxi/utils/document.py,53,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.DOCUMENT_PROCESSING_COMPLETED,DEBUG,src/muxi/utils/document.py:109,Text chunking completed - empty text,src/muxi/utils/document.py,109,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.DOCUMENT_PROCESSING_COMPLETED,DEBUG,src/muxi/utils/document.py:149,Text chunking completed successfully,src/muxi/utils/document.py,149,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.DOCUMENT_PROCESSING_COMPLETED,INFO,src/muxi/formation/artifacts/extractor.py:218,Successfully extracted pre-processed artifact: {artifact.filename},src/muxi/formation/artifacts/extractor.py,218,OK - No issues identified,,
ConversationEvents.DOCUMENT_PROCESSING_COMPLETED,INFO,src/muxi/formation/artifacts/extractor.py:251,Successfully extracted artifact from file: {file_path},src/muxi/formation/artifacts/extractor.py,251,OK - No issues identified,,
ConversationEvents.DOCUMENT_PROCESSING_COMPLETED,INFO,src/muxi/formation/artifacts/extractor.py:307,Extracted {len(artifacts)} artifacts from tool results,src/muxi/formation/artifacts/extractor.py,307,OK - No issues identified,,
ConversationEvents.DOCUMENT_PROCESSING_FAILED,DEBUG,src/muxi/services/llm/llm.py:826,Fusion engine initialized successfully,src/muxi/services/llm/llm.py,826,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.DOCUMENT_PROCESSING_FAILED,ERROR,src/muxi/formation/agents/knowledge/handler.py:915,Failed to process knowledge file during addition,src/muxi/formation/agents/knowledge/handler.py,915,OK - No issues identified,,
ConversationEvents.DOCUMENT_PROCESSING_FAILED,ERROR,src/muxi/formation/artifacts/extractor.py:282,Failed to create artifact from file {file_path}: {str(e)},src/muxi/formation/artifacts/extractor.py,282,OK - No issues identified,,
ConversationEvents.DOCUMENT_PROCESSING_FAILED,ERROR,src/muxi/formation/artifacts/processor.py:288,Error creating artifact from {file_path}: {str(e)},src/muxi/formation/artifacts/processor.py,288,OK - No issues identified,,
ConversationEvents.DOCUMENT_PROCESSING_FAILED,ERROR,src/muxi/formation/overlord/overlord.py:8991,Error synthesizing workflow results: {str(e)},src/muxi/formation/overlord/overlord.py,8991,OK - No issues identified,,
ConversationEvents.DOCUMENT_PROCESSING_FAILED,WARNING,src/muxi/formation/agents/knowledge/handler.py:825,No chunks generated from knowledge file,src/muxi/formation/agents/knowledge/handler.py,825,OK - No issues identified,,
ConversationEvents.DOCUMENT_PROCESSING_FAILED,WARNING,src/muxi/formation/overlord/overlord.py:8980,"LLM synthesis failed, using fallback: {str(e)}",src/muxi/formation/overlord/overlord.py,8980,OK - No issues identified,,
ConversationEvents.DOCUMENT_PROCESSING_FAILED,WARNING,src/muxi/services/llm/llm.py:833,"Could not import fusion engine, falling back to basic processing",src/muxi/services/llm/llm.py,833,OK - No issues identified,,
ConversationEvents.DOCUMENT_PROCESSING_STARTED,DEBUG,src/muxi/utils/document.py:24,Starting document loading,src/muxi/utils/document.py,24,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.DOCUMENT_PROCESSING_STARTED,DEBUG,src/muxi/utils/document.py:94,Starting text chunking,src/muxi/utils/document.py,94,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.DOCUMENT_PROCESSING_STARTED,INFO,src/muxi/formation/artifacts/processor.py:176,Creating artifact from file: {file_path},src/muxi/formation/artifacts/processor.py,176,OK - No issues identified,,
ConversationEvents.DOCUMENT_PROCESSING_STARTED,WARNING,src/muxi/services/llm/llm.py:1425,"Failed to convert files, using basic processing",src/muxi/services/llm/llm.py,1425,OK - No issues identified,,
ConversationEvents.EXCLUSION_RULES_GENERATED,INFO,src/muxi/services/scheduler/parser.py:964,Exclusion rules generation completed,src/muxi/services/scheduler/parser.py,964,OK - No issues identified,,
ConversationEvents.EXCLUSION_RULES_GENERATION_STARTED,INFO,src/muxi/services/scheduler/parser.py:938,Starting exclusion rules generation,src/muxi/services/scheduler/parser.py,938,OK - No issues identified,,
ConversationEvents.GENERAL,WARNING,src/muxi/formation/overlord/chat_orchestrator.py:383,Forcing sync mode: No webhook URL configured or provided,src/muxi/formation/overlord/chat_orchestrator.py,383,OK - No issues identified,,
ConversationEvents.MCP_SERVER_REGISTERED,INFO,src/muxi/formation/overlord/mcp_coordinator.py:428,MCP server '{server_id}' registered successfully,src/muxi/formation/overlord/mcp_coordinator.py,428,OK - No issues identified,,
ConversationEvents.MCP_SERVER_UNREGISTERED,INFO,src/muxi/formation/overlord/mcp_coordinator.py:539,MCP server '{server_id}' unregistered successfully,src/muxi/formation/overlord/mcp_coordinator.py,539,OK - No issues identified,,
ConversationEvents.MCP_TOOL_CALLED,INFO,src/muxi/formation/server/routes/admin/mcp.py:382,MCP tool '{tool_call.tool}' executed successfully via API,src/muxi/formation/server/routes/admin/mcp.py,382,OK - No issues identified,,
ConversationEvents.MCP_TOOL_CALL_COMPLETED,INFO,src/muxi/formation/agents/agent.py:1234,Executed planned step: {step.get('action')},src/muxi/formation/agents/agent.py,1234,OK - No issues identified,,
ConversationEvents.MCP_TOOL_CALL_COMPLETED,INFO,src/muxi/formation/agents/agent.py:2899,Agent {self.agent_id} completed tool call {tool_name},src/muxi/formation/agents/agent.py,2899,OK - No issues identified,,
ConversationEvents.MCP_TOOL_CALL_COMPLETED,INFO,src/muxi/services/mcp/service.py:675,NO DESCRIPTION,src/muxi/services/mcp/service.py,675,MISSING DESCRIPTION - Add meaningful description,,
